value	form	character	language
ellaj	LAGAB	𒆸	sux
gil2	LAGAB	𒆸	sux
gili2	LAGAB	𒆸	sux
gir8	LAGAB	𒆸	sux
girenx	LAGAB	𒆸	sux
giri8	LAGAB	𒆸	sux
girim	LAGAB	𒆸	sux
girin	LAGAB	𒆸	sux
gud8	LAGAB	𒆸	sux
gur4	LAGAB	𒆸	sux
gurun3	LAGAB	𒆸	sux
hab	LAGAB	𒆸	sux
haba	LAGAB	𒆸	sux
hap	LAGAB	𒆸	sux
illag	LAGAB	𒆸	sux
kel	LAGAB	𒆸	sux
kele	LAGAB	𒆸	sux
kil	LAGAB	𒆸	sux
kili	LAGAB	𒆸	sux
kilib	LAGAB	𒆸	sux
kir3	LAGAB	𒆸	sux
kux	LAGAB	𒆸	sux
kur4	LAGAB	𒆸	sux
kuru4	LAGAB	𒆸	sux
lagab	LAGAB	𒆸	sux
lugud2	LAGAB	𒆸	sux
ni10	LAGAB	𒆸	sux
nigi2	LAGAB	𒆸	sux
nigin2	LAGAB	𒆸	sux
niji2	LAGAB	𒆸	sux
nijin2	LAGAB	𒆸	sux
nimen2	LAGAB	𒆸	sux
nin4	LAGAB	𒆸	sux
qer3	LAGAB	𒆸	sux
qel	LAGAB	𒆸	sux
qil	LAGAB	𒆸	sux
qir3	LAGAB	𒆸	sux
re3	LAGAB	𒆸	sux
rem	LAGAB	𒆸	sux
reme	LAGAB	𒆸	sux
ri3	LAGAB	𒆸	sux
rim	LAGAB	𒆸	sux
rin	LAGAB	𒆸	sux
sim4	LAGAB	𒆸	sux
sux	LAGAB	𒆸	sux
surx	LAGAB	𒆸	sux
tuku6	LAGAB	𒆸	sux
tukulx	LAGAB	𒆸	sux
tukur	LAGAB	𒆸	sux
tur6	LAGAB	𒆸	sux
LAK767	|LAGAB.LAGAB|	𒆸𒆸	sux
banx	|LAGAB.LAGAB|	𒆸𒆸	sux
garadin5	|LAGAB.LAGAB|	𒆸𒆸	sux
ichara3	|LAGAB.LAGAB|	𒆸𒆸	sux
karadin5	|LAGAB.LAGAB|	𒆸𒆸	sux
kel3	|LAGAB.LAGAB|	𒆸𒆸	sux
kil3	|LAGAB.LAGAB|	𒆸𒆸	sux
kilax	|LAGAB.LAGAB|	𒆸𒆸	sux
kilux	|LAGAB.LAGAB|	𒆸𒆸	sux
kili3	|LAGAB.LAGAB|	𒆸𒆸	sux
kilib3	|LAGAB.LAGAB|	𒆸𒆸	sux
kin4	|LAGAB.LAGAB|	𒆸𒆸	sux
ni6	|LAGAB.LAGAB|	𒆸𒆸	sux
niggix	|LAGAB.LAGAB|	𒆸𒆸	sux
nigginaku	|LAGAB.LAGAB|	𒆸𒆸	sux
nigi	|LAGAB.LAGAB|	𒆸𒆸	sux
nigin	|LAGAB.LAGAB|	𒆸𒆸	sux
nijin	|LAGAB.LAGAB|	𒆸𒆸	sux
nimenx	|LAGAB.LAGAB|	𒆸𒆸	sux
nin3	|LAGAB.LAGAB|	𒆸𒆸	sux
nini	|LAGAB.LAGAB|	𒆸𒆸	sux
ninni2	|LAGAB.LAGAB|	𒆸𒆸	sux
rin3	|LAGAB.LAGAB|	𒆸𒆸	sux
mud4	|LAGAB.U.KAK|	𒆸𒌋𒆕	sux
burux	|4×LAGAB|	𒇫	sux
gurux	|4×LAGAB|	𒇫	sux
gurun4	|4×LAGAB|	𒇫	sux
LAK785	|LAGAB×A|	𒆹	sux
a9	|LAGAB×A|	𒆹	sux
a)a3	|LAGAB×A|	𒆹	sux
abbar	|LAGAB×A|	𒆹	sux
abbarax	|LAGAB×A|	𒆹	sux
ablal2	|LAGAB×A|	𒆹	sux
aia4	|LAGAB×A|	𒆹	sux
ambar	|LAGAB×A|	𒆹	sux
ambara	|LAGAB×A|	𒆹	sux
anbar	|LAGAB×A|	𒆹	sux
as4	|LAGAB×A|	𒆹	sux
aslum	|LAGAB×A|	𒆹	sux
acte2	|LAGAB×A|	𒆹	sux
aya4	|LAGAB×A|	𒆹	sux
bugin	|LAGAB×A|	𒆹	sux
bunij	|LAGAB×A|	𒆹	sux
bunin	|LAGAB×A|	𒆹	sux
elamkuc4	|LAGAB×A|	𒆹	sux
ellamkuc4	|LAGAB×A|	𒆹	sux
engurx	|LAGAB×A|	𒆹	sux
gunin2	|LAGAB×A|	𒆹	sux
ix	|LAGAB×A|	𒆹	sux
idx	|LAGAB×A|	𒆹	sux
kunin2	|LAGAB×A|	𒆹	sux
nammax	|LAGAB×A|	𒆹	sux
nammux	|LAGAB×A|	𒆹	sux
puginx	|LAGAB×A|	𒆹	sux
sug	|LAGAB×A|	𒆹	sux
sugix	|LAGAB×A|	𒆹	sux
suk	|LAGAB×A|	𒆹	sux
suq	|LAGAB×A|	𒆹	sux
cuk3	|LAGAB×A|	𒆹	sux
umun11	|LAGAB×A|	𒆹	sux
zikumx	|LAGAB×A|	𒆹	sux
zug	|LAGAB×A|	𒆹	sux
zuk	|LAGAB×A|	𒆹	sux
zuq	|LAGAB×A|	𒆹	sux
bunijx~a	|A.LAGAB×A|	𒀀𒆹	sux
buninx~a	|A.LAGAB×A|	𒀀𒆹	sux
bugin2~b	|LAGAB×GAR|	𒇅	sux
bunij2~b	|LAGAB×GAR|	𒇅	sux
bunin2~b	|LAGAB×GAR|	𒇅	sux
bugin3~c	|LAGAB×ME|	𒇘	sux
bunin3~c	|LAGAB×ME|	𒇘	sux
bugin4~d	|LAGAB×(U.A)|	𒇦	sux
bunin4~d	|LAGAB×(U.A)|	𒇦	sux
LAK768~e	|LAGAB×HAL|	𒇉	sux
bunig3~e	|LAGAB×HAL|	𒇉	sux
bunij3~e	|LAGAB×HAL|	𒇉	sux
kunin~f	|LAGAB×KUL|	𒇒	sux
LAK797~g	A	𒀀	sux
MZL839~g	A	𒀀	sux
bunijx~g	A	𒀀	sux
as4-lum	|LAGAB×A.LUM|	𒆹𒈝	sux
suluhu4	|LAGAB×A.LUM|	𒆹𒈝	sux
sulumhi4	|LAGAB×A.LUM|	𒆹𒈝	sux
zuluhu4	|LAGAB×A.LUM|	𒆹𒈝	sux
inda2	|LAGAB×A.TAR|	𒆹𒋻	sux
edakua2	|LAGAB×(A.DA.HA)|	𒆺	sux
agar3	|LAGAB×(A.GAR)|	𒆻	sux
ablal	|LAGAB×(A.LAL)|	𒆼	sux
kinbur	|LAGAB×(A.LAL)|	𒆼	sux
gala4	|LAGAB×AL|	𒆽	sux
kala4	|LAGAB×AL|	𒆽	sux
LAK769	|LAGAB×AN|	𒆾	sux
ama6	|LAGAB×AN|	𒆾	sux
gigir	|LAGAB×BAD|	𒇀	sux
gigira	|LAGAB×BAD|	𒇀	sux
pu6	|LAGAB×BAD|	𒇀	sux
tul8	|LAGAB×BAD|	𒇀	sux
kunin3	|LAGAB×BI|	𒇁	sux
gala11	|LAGAB×DAR|	𒇂	sux
kala10	|LAGAB×DAR|	𒇂	sux
sidug	|LAGAB×DAR|	𒇂	sux
sidugga	|LAGAB×DAR|	𒇂	sux
bara5	|LAGAB×EN|	𒇃	sux
para5	|LAGAB×EN|	𒇃	sux
sidug2	|LAGAB×GA|	𒇄	sux
siduga2	|LAGAB×GA|	𒇄	sux
sidugga2	|LAGAB×GA|	𒇄	sux
abbarx	|LAGAB×GAR|	𒇅	sux
ambarx	|LAGAB×GAR|	𒇅	sux
asx	|LAGAB×GAR|	𒇅	sux
aslumx	|LAGAB×GAR|	𒇅	sux
actex	|LAGAB×GAR|	𒇅	sux
ayax	|LAGAB×GAR|	𒇅	sux
bugin2	|LAGAB×GAR|	𒇅	sux
bunij2	|LAGAB×GAR|	𒇅	sux
bunin2	|LAGAB×GAR|	𒇅	sux
delen3	|LAGAB×GAR|	𒇅	sux
delena3	|LAGAB×GAR|	𒇅	sux
dilim5	|LAGAB×GAR|	𒇅	sux
dilin3	|LAGAB×GAR|	𒇅	sux
dilina3	|LAGAB×GAR|	𒇅	sux
duruna4	|LAGAB×GAR|	𒇅	sux
ellamkucx	|LAGAB×GAR|	𒇅	sux
guninx	|LAGAB×GAR|	𒇅	sux
immindu2	|LAGAB×GAR|	𒇅	sux
inda4	|LAGAB×GAR|	𒇅	sux
kuninx	|LAGAB×GAR|	𒇅	sux
ninda4	|LAGAB×GAR|	𒇅	sux
nindu	|LAGAB×GAR|	𒇅	sux
ninindu	|LAGAB×GAR|	𒇅	sux
sugx	|LAGAB×GAR|	𒇅	sux
tinur3	|LAGAB×GAR|	𒇅	sux
umunx	|LAGAB×GAR|	𒇅	sux
zugx	|LAGAB×GAR|	𒇅	sux
)u3	|LAGAB×GUD|	𒇆	sux
dabx	|LAGAB×GUD|	𒇆	sux
dib5	|LAGAB×GUD|	𒇆	sux
gana5	|LAGAB×GUD|	𒇆	sux
ganam5	|LAGAB×GUD|	𒇆	sux
cara4	|LAGAB×GUD|	𒇆	sux
curim3	|LAGAB×GUD|	𒇆	sux
curu3	|LAGAB×GUD|	𒇆	sux
curum3	|LAGAB×GUD|	𒇆	sux
curun3	|LAGAB×GUD|	𒇆	sux
u)3	|LAGAB×GUD|	𒇆	sux
ua	|LAGAB×GUD|	𒇆	sux
wax	|LAGAB×GUD|	𒇆	sux
u)a	|LAGAB×(GUD.GUD).A|	𒇇𒀀	sux
u)i	|LAGAB×(GUD.GUD).A|	𒇇𒀀	sux
u)u	|LAGAB×(GUD.GUD).A|	𒇇𒀀	sux
usduha	|LAGAB×GUD.LU.HI.A|	𒇆𒇻𒄭𒀀	sux
uzduha	|LAGAB×GUD.LU.HI.A|	𒇆𒇻𒄭𒀀	sux
dibx	|LAGAB×(GUD.GUD)|	𒇇	sux
gana4	|LAGAB×(GUD.GUD)|	𒇇	sux
ganam4	|LAGAB×(GUD.GUD)|	𒇇	sux
gayayu	|LAGAB×(GUD.GUD)|	𒇇	sux
lahar	|LAGAB×(GUD.GUD)|	𒇇	sux
lahrax	|LAGAB×(GUD.GUD)|	𒇇	sux
lahru	|LAGAB×(GUD.GUD)|	𒇇	sux
lahrum	|LAGAB×(GUD.GUD)|	𒇇	sux
cerba	|LAGAB×(GUD.GUD)|	𒇇	sux
curim	|LAGAB×(GUD.GUD)|	𒇇	sux
curu	|LAGAB×(GUD.GUD)|	𒇇	sux
curum	|LAGAB×(GUD.GUD)|	𒇇	sux
curun	|LAGAB×(GUD.GUD)|	𒇇	sux
u8	|LAGAB×(GUD.GUD)|	𒇇	sux
ua	|LAGAB×(GUD.GUD)|	𒇇	sux
us5	|LAGAB×(GUD.GUD)|	𒇇	sux
uz5	|LAGAB×(GUD.GUD)|	𒇇	sux
wax	|LAGAB×(GUD.GUD)|	𒇇	sux
LAK784a	|LAGAB×HA|	𒇈	sux
elamkuc3	|LAGAB×HA|	𒇈	sux
ellamkuc3	|LAGAB×HA|	𒇈	sux
LAK768	|LAGAB×HAL|	𒇉	sux
angur	|LAGAB×HAL|	𒇉	sux
bunig3	|LAGAB×HAL|	𒇉	sux
bunij3	|LAGAB×HAL|	𒇉	sux
engur	|LAGAB×HAL|	𒇉	sux
gilugu	|LAGAB×HAL|	𒇉	sux
gur22	|LAGAB×HAL|	𒇉	sux
ex	|LAGAB×HAL|	𒇉	sux
i8	|LAGAB×HAL|	𒇉	sux
id3	|LAGAB×HAL|	𒇉	sux
lammu6	|LAGAB×HAL|	𒇉	sux
namma	|LAGAB×HAL|	𒇉	sux
nammu	|LAGAB×HAL|	𒇉	sux
zikum	|LAGAB×HAL|	𒇉	sux
zikumux	|LAGAB×HAL|	𒇉	sux
ix	|LAGAB×HAL.A|	𒇉𒀀	sux
umun6	|LAGAB×HI×NUN|	𒇊	sux
bun	|LAGAB×IM|	𒇌	sux
delen	|LAGAB×IM|	𒇌	sux
delena	|LAGAB×IM|	𒇌	sux
dilim	|LAGAB×IM|	𒇌	sux
dilim3	|LAGAB×IM|	𒇌	sux
dilin	|LAGAB×IM|	𒇌	sux
dilina	|LAGAB×IM|	𒇌	sux
duruna2	|LAGAB×IM|	𒇌	sux
elamkuc	|LAGAB×IM|	𒇌	sux
ellamkuc	|LAGAB×IM|	𒇌	sux
ilamma	|LAGAB×IM|	𒇌	sux
illamma	|LAGAB×IM|	𒇌	sux
immindu	|LAGAB×IM|	𒇌	sux
inda5	|LAGAB×IM|	𒇌	sux
ninda3	|LAGAB×IM|	𒇌	sux
nindu2	|LAGAB×IM|	𒇌	sux
ninindu2	|LAGAB×IM|	𒇌	sux
tinur	|LAGAB×IM|	𒇌	sux
tinuru	|LAGAB×IM|	𒇌	sux
tunur	|LAGAB×IM|	𒇌	sux
ellamkucx	|LAGAB×(IM.HA)|	𒇍	sux
elamkucx	|LAGAB×(IM.LU)|	𒇎	sux
ellamkucx	|LAGAB×(IM.LU)|	𒇎	sux
gala5	|LAGAB×KI|	𒇏	sux
kala5	|LAGAB×KI|	𒇏	sux
ablalx	|LAGAB×KIN|	𒇐	sux
gukin	|LAGAB×KIN|	𒇐	sux
udda	|LAGAB×KIN|	𒇐	sux
dagrim	|LAGAB×KU₃|	𒇑	sux
dagrin	|LAGAB×KU₃|	𒇑	sux
garim	|LAGAB×KU₃|	𒇑	sux
garin	|LAGAB×KU₃|	𒇑	sux
jarim	|LAGAB×KU₃|	𒇑	sux
jarin	|LAGAB×KU₃|	𒇑	sux
tagrimx	|LAGAB×KU₃|	𒇑	sux
tagrinx	|LAGAB×KU₃|	𒇑	sux
esir2	|LAGAB×KUL|	𒇒	sux
kunin	|LAGAB×KUL|	𒇒	sux
cukumx	|LAGAB×KUL|	𒇒	sux
esirha	|LAGAB×(KUL.HI.A)|	𒇓	sux
esirhia	|LAGAB×(KUL.HI.A)|	𒇓	sux
niginx	|LAGAB×LAGAB|	𒇔	sux
gigir3	|LAGAB×AŠ@t|	𒇕	sux
akan3	|LAGAB×LU|	𒇖	sux
akkan3	|LAGAB×LU|	𒇖	sux
elamkuc2	|LAGAB×LU|	𒇖	sux
ellamkuc2	|LAGAB×LU|	𒇖	sux
bara9	|LAGAB×LUL|	𒇗	sux
irib2	|LAGAB×LUL|	𒇗	sux
para9	|LAGAB×LUL|	𒇗	sux
bara6	|LAGAB×(ME.EN)|	𒇙	sux
men4	|LAGAB×(ME.EN)|	𒇙	sux
para6	|LAGAB×(ME.EN)|	𒇙	sux
muccagana	|LAGAB×MUŠ|	𒇚	sux
udub	|LAGAB×NE|	𒇛	sux
LAK782	|LAGAB×IGI@g|	𒇋	sux
agar2	|LAGAB×IGI@g|	𒇋	sux
bara7	|LAGAB×IGI@g|	𒇋	sux
immax	|LAGAB×IGI@g|	𒇋	sux
para7	|LAGAB×IGI@g|	𒇋	sux
cara2	|LAGAB×IGI@g|	𒇋	sux
bu14	|LAGAB×SUM|	𒇡	sux
bul5	|LAGAB×SUM|	𒇡	sux
buru16	|LAGAB×SUM|	𒇡	sux
sar6	|LAGAB×SUM|	𒇡	sux
sur8	|LAGAB×SUM|	𒇡	sux
cerim2	|LAGAB×SUM|	𒇡	sux
s,ar	|LAGAB×SUM|	𒇡	sux
s,ara	|LAGAB×SUM|	𒇡	sux
zal2	|LAGAB×SUM|	𒇡	sux
zar	|LAGAB×SUM|	𒇡	sux
zara	|LAGAB×SUM|	𒇡	sux
zarih	|LAGAB×SUM|	𒇡	sux
zur4	|LAGAB×SUM|	𒇡	sux
cerimsur	|LAGAB×(ŠE.SUM)|	𒇜	sux
cerinsur	|LAGAB×(ŠE.SUM)|	𒇜	sux
mex	|LAGAB×(ŠITA.GIŠ.ERIN₂)|	𒇝	sux
sagdudux	|LAGAB×(ŠITA.GIŠ.ERIN₂)|	𒇝	sux
me9	|LAGAB×(ŠITA@t.GIŠ)|	𒇞	sux
muccagana2	|LAGAB×(ŠITA@t.GIŠ)|	𒇞	sux
sagdudu	|LAGAB×(ŠITA@t.GIŠ)|	𒇞	sux
cu5	|LAGAB×ŠU₂|	𒇟	sux
cuc5	|LAGAB×ŠU₂|	𒇟	sux
cu6	|LAGAB×(ŠU₂.ŠU₂)|	𒇠	sux
cuc6	|LAGAB×(ŠU₂.ŠU₂)|	𒇠	sux
sidugax	|LAGAB×TAG|	𒇢	sux
bara8	|LAGAB×TAK₄|	𒇣	sux
ninmuc	|LAGAB×TAK₄|	𒇣	sux
para8	|LAGAB×TAK₄|	𒇣	sux
cara3	|LAGAB×TAK₄|	𒇣	sux
curu2	|LAGAB×TAK₄|	𒇣	sux
curun2	|LAGAB×TAK₄|	𒇣	sux
cedur	|LAGAB×(TE.A.SU.NA)|	𒇤	sux
bu4	|LAGAB×U|	𒇥	sux
bu6	|LAGAB×U|	𒇥	sux
dul2	|LAGAB×U|	𒇥	sux
gala3	|LAGAB×U|	𒇥	sux
gigir2	|LAGAB×U|	𒇥	sux
gigira2	|LAGAB×U|	𒇥	sux
hab2	|LAGAB×U|	𒇥	sux
hap2	|LAGAB×U|	𒇥	sux
kala3	|LAGAB×U|	𒇥	sux
pu2	|LAGAB×U|	𒇥	sux
tukurx	|LAGAB×U|	𒇥	sux
tul2	|LAGAB×U|	𒇥	sux
tul	|LAGAB×U|	𒇥	sux
ub4	|LAGAB×U|	𒇥	sux
ablal3	|LAGAB×(U.A)|	𒇦	sux
amah	|LAGAB×(U.A)|	𒇦	sux
bugin4	|LAGAB×(U.A)|	𒇦	sux
bunin4	|LAGAB×(U.A)|	𒇦	sux
humuh	|LAGAB×(U.A)|	𒇦	sux
umah	|LAGAB×(U.A)|	𒇦	sux
umuh	|LAGAB×(U.A)|	𒇦	sux
umun5	|LAGAB×(U.A)|	𒇦	sux
bu5	|LAGAB×(U.U.U)|	𒇧	sux
bul	|LAGAB×(U.U.U)|	𒇧	sux
bur10	|LAGAB×(U.U.U)|	𒇧	sux
burux	|LAGAB×(U.U.U)|	𒇧	sux
nenna2	|LAGAB×(U.U.U)|	𒇧	sux
nenni2	|LAGAB×(U.U.U)|	𒇧	sux
ninna2	|LAGAB×(U.U.U)|	𒇧	sux
ninni4	|LAGAB×(U.U.U)|	𒇧	sux
ninnim4	|LAGAB×(U.U.U)|	𒇧	sux
ninnux	|LAGAB×(U.U.U)|	𒇧	sux
nussu	|LAGAB×(U.U.U)|	𒇧	sux
pul	|LAGAB×(U.U.U)|	𒇧	sux
tu13	|LAGAB×(U.U.U)|	𒇧	sux
tug4	|LAGAB×(U.U.U)|	𒇧	sux
tuk4	|LAGAB×(U.U.U)|	𒇧	sux
tuku4	|LAGAB×(U.U.U)|	𒇧	sux
zansur	|LAGAB×(U.U.U)|	𒇧	sux
bu5-bu5	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
bubux	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
bubbu	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
nenna	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
nenni	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
nin7	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
ninna	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
ninnu2	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
tutke	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
tutki	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
tutku	|LAGAB×(U.U.U).LAGAB×(U.U.U)|	𒇧𒇧	sux
ugra	|LAGAB×(U₂.AŠ)|	𒇨	sux
ugri	|LAGAB×(U₂.AŠ)|	𒇨	sux
ucera	|LAGAB×(U₂.AŠ)|	𒇨	sux
uceri	|LAGAB×(U₂.AŠ)|	𒇨	sux
umun12	|LAGAB×UD|	𒇩	sux
umuna12	|LAGAB×UD|	𒇩	sux
nigin11	|LAGAB×UŠ|	𒇪	sux
nimenx	|LAGAB×UŠ|	𒇪	sux
LAK306	LAGAR	𒇬	sux
lagal	LAGAR	𒇬	sux
lagar	LAGAR	𒇬	sux
nagal	LAGAR	𒇬	sux
LAK303	|LAGAR×ŠE|	𒇭	sux
su7	|LAGAR×ŠE|	𒇭	sux
sug8	|LAGAR×ŠE|	𒇭	sux
sul4	|LAGAR×ŠE|	𒇭	sux
sur12	|LAGAR×ŠE|	𒇭	sux
sura12	|LAGAR×ŠE|	𒇭	sux
...bun	|LAGAR×(ŠE.SUM)|	𒇮	sux
lugud4	|LAGAR×(ŠE.SUM)|	𒇮	sux
suhirim	|LAGAR×(ŠE.SUM)|	𒇮	sux
suhirin	|LAGAR×(ŠE.SUM)|	𒇮	sux
LAK302	LAGAR@g	𒇯	sux
du6	LAGAR@g	𒇯	sux
dul6	LAGAR@g	𒇯	sux
til2	LAGAR@g	𒇯	sux
tu21	LAGAR@g	𒇯	sux
tul5	LAGAR@g	𒇯	sux
tul3	LAGAR@g	𒇯	sux
e11	|LAGAR@g.DU|	𒇯𒁺	sux
ed3	|LAGAR@g.DU|	𒇯𒁺	sux
gigir4	|LAGAR@g.DU|	𒇯𒁺	sux
e12	|LAGAR@g.DU@s|	𒇯𒁽	sux
ed4	|LAGAR@g.DU@s|	𒇯𒁽	sux
sumunda	|LAGAR@g&LAGAR@g.ŠE|	𒇰	sux
cumunx	|LAGAR@g&LAGAR@g.ŠE|	𒇰	sux
cumunda	|LAGAR@g&LAGAR@g.ŠE|	𒇰	sux
LAK756	LAL	𒇲	sux
la2	LAL	𒇲	sux
lal	LAL	𒇲	sux
lux	LAL	𒇲	sux
sur5	LAL	𒇲	sux
suru5	LAL	𒇲	sux
curx	LAL	𒇲	sux
curux	LAL	𒇲	sux
zur5	LAL	𒇲	sux
zuru5	LAL	𒇲	sux
la)u7	|LAL.KAK|	𒇲𒆕	sux
lal)u7	|LAL.KAK|	𒇲𒆕	sux
nanga2	|LAL.LAGAB|	𒇲𒆸	sux
nigin7	|LAL.LAGAB|	𒇲𒆸	sux
nimem3	|LAL.LAGAB|	𒇲𒆸	sux
surx	|LAL.LAGAB|	𒇲𒆸	sux
cur5	|LAL.LAGAB|	𒇲𒆸	sux
usar4	|LAL.LAGAB|	𒇲𒆸	sux
usur4	|LAL.LAGAB|	𒇲𒆸	sux
ucar4	|LAL.LAGAB|	𒇲𒆸	sux
ucur4	|LAL.LAGAB|	𒇲𒆸	sux
LAK758	|LAL.NI|	𒇲𒉌	sux
la)u6	|LAL.NI|	𒇲𒉌	sux
lal)u6	|LAL.NI|	𒇲𒉌	sux
nanga4	|LAL.SAR|	𒇲𒊬	sux
nigin9	|LAL.SAR|	𒇲𒊬	sux
nijin9	|LAL.SAR|	𒇲𒊬	sux
nimen5	|LAL.SAR|	𒇲𒊬	sux
usar2	|LAL.SAR|	𒇲𒊬	sux
ucar2	|LAL.SAR|	𒇲𒊬	sux
ucur2	|LAL.SAR|	𒇲𒊬	sux
LAK760	LAL₂	𒇳	sux
kurnun	LAL₂	𒇳	sux
la5	LAL₂	𒇳	sux
la)u	LAL₂	𒇳	sux
lal-lal	LAL₂	𒇳	sux
lal2	LAL₂	𒇳	sux
lal)u	LAL₂	𒇳	sux
lalla	LAL₂	𒇳	sux
lallal	LAL₂	𒇳	sux
papnun	LAL₂	𒇳	sux
la)u5	|LAL₂.A|	𒇳𒀀	sux
lal)u5	|LAL₂.A|	𒇳𒀀	sux
uku5	|LAL₂.DU.DU|	𒇳𒁺𒁺	sux
ukur4	|LAL₂.DU.DU|	𒇳𒁺𒁺	sux
halba4	|LAL₂.HAL|	𒇳𒄬	sux
halbi4	|LAL₂.HAL|	𒇳𒄬	sux
halbu4	|LAL₂.HAL|	𒇳𒄬	sux
nanga	|LAL₂.LAGAB|	𒇳𒆸	sux
nigin5	|LAL₂.LAGAB|	𒇳𒆸	sux
nijin5	|LAL₂.LAGAB|	𒇳𒆸	sux
nimen	|LAL₂.LAGAB|	𒇳𒆸	sux
cur6	|LAL₂.LAGAB|	𒇳𒆸	sux
usar3	|LAL₂.LAGAB|	𒇳𒆸	sux
ucar3	|LAL₂.LAGAB|	𒇳𒆸	sux
ucur3	|LAL₂.LAGAB|	𒇳𒆸	sux
surx	|LAL₂.TUG₂|	𒇳𒌆	sux
ucurx	|LAL₂.TUG₂|	𒇳𒌆	sux
la)ux	|LAL₂.U|	𒇳𒌋	sux
halba5	|LAL₂.URU×MIN|	𒇳𒍇	sux
halbi5	|LAL₂.URU×MIN|	𒇳𒍇	sux
halbu5	|LAL₂.URU×MIN|	𒇳𒍇	sux
halpiax	|LAL₂.URU×MIN|	𒇳𒍇	sux
uku2	|LAL₂.DU|	𒇳𒁺	sux
ukur3	|LAL₂.DU|	𒇳𒁺	sux
halpix	|LAL₂.HAL|	𒇳𒄬	sux
halpiax	|LAL₂.HAL|	𒇳𒄬	sux
la)u4	|LAL₂.KAK|	𒇳𒆕	sux
lal)u4	|LAL₂.KAK|	𒇳𒆕	sux
la)u3	|LAL₂.NI|	𒇳𒉌	sux
lal)u3	|LAL₂.NI|	𒇳𒉌	sux
nanga3	|LAL₂.SAR|	𒇳𒊬	sux
nigin8	|LAL₂.SAR|	𒇳𒊬	sux
nijin8	|LAL₂.SAR|	𒇳𒊬	sux
nimen4	|LAL₂.SAR|	𒇳𒊬	sux
cur4	|LAL₂.SAR|	𒇳𒊬	sux
usar	|LAL₂.SAR|	𒇳𒊬	sux
usur	|LAL₂.SAR|	𒇳𒊬	sux
ucar	|LAL₂.SAR|	𒇳𒊬	sux
ucur	|LAL₂.SAR|	𒇳𒊬	sux
halpi	|LAL₂.URU×MIN|	𒇳𒍇	sux
halpia	|LAL₂.URU×MIN|	𒇳𒍇	sux
LAK189	LAM	𒇴	sux
ecx	LAM	𒇴	sux
la12	LAM	𒇴	sux
lam	LAM	𒇴	sux
lama	LAM	𒇴	sux
lammax	LAM	𒇴	sux
lim3	LAM	𒇴	sux
lugx	LAM	𒇴	sux
LAK190	|LAM×KUR|	𒇵	sux
arad3	|LAM×KUR|	𒇵	sux
ec22	|LAM×KUR|	𒇵	sux
ecux	|LAM×KUR|	𒇵	sux
ic11	|LAM×KUR|	𒇵	sux
lam7	|LAM×KUR|	𒇵	sux
arata	|LAM×(KUR.RU)|	𒇶	sux
aratta	|LAM×(KUR.RU)|	𒇶	sux
arata	|LAM×(KUR.RU)|	𒇶	sux
curipak2	|LAM×(KUR.RU)|	𒇶	sux
curippak2	|LAM×(KUR.RU)|	𒇶	sux
curupak2	|LAM×(KUR.RU)|	𒇶	sux
curuppak2	|LAM×(KUR.RU)|	𒇶	sux
cubax	|LAM.SAG|	𒇴𒊕	sux
LAK206	LI	𒇷	sux
MZL85	LI	𒇷	sux
en3	LI	𒇷	sux
gub2	LI	𒇷	sux
gup2	LI	𒇷	sux
le	LI	𒇷	sux
li	LI	𒇷	sux
ni8	LI	𒇷	sux
nu9	LI	𒇷	sux
LAK170~a	ŠA	𒊭	sux
MZL566~a	ŠA	𒊭	sux
en8~a	ŠA	𒊭	sux
li5~a	ŠA	𒊭	sux
LAK208	LIL	𒇸	sux
il9	LIL	𒇸	sux
kurx	LIL	𒇸	sux
lil	LIL	𒇸	sux
sukux	LIL	𒇸	sux
4(dic)@v	LIMMU	𒐼	sux
4(dic@c)@v	LIMMU	𒐼	sux
lammu	LIMMU	𒐼	sux
limmu	LIMMU	𒐼	sux
limu	LIMMU	𒐼	sux
LAK91	LIMMU₂	𒇹	sux
4(dic)@v~b	LIMMU₂	𒇹	sux
4(dic@c)@v~b	LIMMU₂	𒇹	sux
arba	LIMMU₂	𒇹	sux
arrap	LIMMU₂	𒇹	sux
erba	LIMMU₂	𒇹	sux
erbe	LIMMU₂	𒇹	sux
lam4	LIMMU₂	𒇹	sux
lammu2	LIMMU₂	𒇹	sux
lim2	LIMMU₂	𒇹	sux
limmu2	LIMMU₂	𒇹	sux
limu2	LIMMU₂	𒇹	sux
